regiao,uf,municipio,co_ibge,cnes,comp,nome_estabelecimento,razao_social,tipo_gestao,ds_tipo_unidade,desc_natureza_juridica,leitos_existentes,leitos_sus,populacao,id_estabelecimento,existentes_nao_sus,percentual_sus
SUDESTE,RJ,ANGRA DOS REIS,330010,2281384,202603,HOSPITAL DE PRAIA BRAVA,FUNDACAO ELETRONUCLEAR DE ASSISTENCIA MEDICA,Municipal,HOSPITAL GERAL,HOSPITAL_FILANTRÓPICO,44,27,179142.0,2281384,17,61.36363636363637
SUDESTE,RJ,ANGRA DOS REIS,330010,6086497,202603,ANGRACOR SERVICOS HOSPITALARES LTDA,ANGRACOR SERVICOS HOSPITALARES LTDA,Municipal,HOSPITAL GERAL,HOSPITAL_PRIVADO,5,0,179142.0,6086497,5,0.0
SUDESTE,RJ,ANGRA DOS REIS,330010,7354746,202603,HOSPITAL MUNICIPAL DA JAPUIBA HMJ,FUNDACAO HOSPITALAR JORGE ELIAS MIGUEL,Municipal,HOSPITAL GERAL,HOSPITAL_PÚBLICO,157,157,179142.0,7354746,0,100.0
SUDESTE,RJ,ANGRA DOS REIS,330010,9903496,202603,PLAZA MEDICAL SERVICOS ESPECIALIZADOS EM SAUDE LTDA,PLAZA MEDICAL SERVICOS ESPECIALIZADOS EM SAUDE LTDA,Municipal,HOSPITAL GERAL,HOSPITAL_PRIVADO,20,0,179142.0,9903496,20,0.0
SUDESTE,RJ,APERIBE,330015,2267454,202603,HOSPITAL MUNICIPAL AUGUSTINHO GESUALD BLANC,MUNICIPIO DE APERIBE,Municipal,HOSPITAL GERAL,HOSPITAL_PÚBLICO,35,35,11426.0,2267454,0,100.0
SUDESTE,RJ,ARARUAMA,330020,0221015,202603,HOSPITAL MUNICIPAL DR JAQUELINE PRATES CNPJ 31 135 0460001 4,HOSPITAL MUNICIPAL DRA JAQUELINE PRATES,Municipal,HOSPITAL GERAL,HOSPITAL_PÚBLICO,70,70,137906.0,0221015,0,100.0
SUDESTE,RJ,ARARUAMA,330020,2285150,202603,HOSPITAL MUNICIPAL PREFEITO ARMANDO DA SILVA CARVALHO,SECRETARIA MUNICIPAL DE SAUDE DE ARARUAMA,Municipal,HOSPITAL GERAL,HOSPITAL_PÚBLICO,18,18,137906.0,2285150,0,100.0
SUDESTE,RJ,ARARUAMA,330020,2696932,202603,SES RJ HOSPITAL ESTADUAL ROBERTO CHABO,SECRETARIA DE ESTADO DE SAUDE DO RIO DE JANEIRO,Estadual,HOSPITAL GERAL,HOSPITAL_PÚBLICO,91,83,137906.0,2696932,8,91.20879120879121
SUDESTE,RJ,ARARUAMA,330020,3988732,202603,HCLAGOS,HOSPITAL DAS CLINICAS DA REGIAO DOS LAGOS S A,Municipal,HOSPITAL GERAL,HOSPITAL_PRIVADO,25,0,137906.0,3988732,25,0.0
SUDESTE,RJ,AREAL,330022,2285975,202603,HOSPITAL MUNICIPAL NOSSA SENHORA DAS DORES,HOSPITAL MUNICIPAL NOSSA SENHORA DAS DORES,Municipal,HOSPITAL GERAL,HOSPITAL_PÚBLICO,20,20,12239.0,2285975,0,100.0
